DATE,M2
2020-01-06,15337.7
2020-01-13,15371.5
2020-01-20,15423.3
2020-01-27,15445.3
2020-02-03,15428.2
2020-02-10,15432.5
2020-02-17,15442.9
2020-02-24,15434.1
2020-03-02,15512.8
2020-03-09,15567.3
2020-03-16,15725.8
2020-03-23,16151.3
2020-03-30,16533.1
2020-04-06,16595.8
2020-04-13,16715.7
2020-04-20,17075.6
2020-04-27,17405.3
2020-05-04,17598.7
2020-05-11,17818.1
2020-05-18,17908.0
2020-05-25,17936.4
2020-06-01,17970.8
2020-06-08,18060.5
2020-06-15,18136.6
2020-06-22,18234.4
2020-06-29,18230.7
2020-07-06,18321.7
2020-07-13,18384.9
2020-07-20,18313.7
2020-07-27,18279.2
2020-08-03,18252.6
2020-08-10,18395.4
2020-08-17,18441.5
2020-08-24,18377.1
2020-08-31,18456.2
2020-09-07,18566.5
2020-09-14,18691.2
2020-09-21,18710.0
2020-09-28,18643.6
2020-10-05,18689.4
2020-10-12,18795.9
2020-10-19,18815.7
2020-10-26,18838.9
2020-11-02,18894.9
2020-11-09,19067.1
2020-11-16,19108.4
2020-11-23,19120.7
2020-11-30,18997.5
