Date , M2 Money Stock | Billion USD | SA , Note
Sep 2015 , 12126.3 , Actual
Oct 2015 , 12159.8 , Actual
Nov 2015 , 12286.2 , Actual
Dec 2015 , 12416.1 , Actual
Jan 2016 , 12467.2 , Actual
Feb 2016 , 12506.1 , Actual
Mar 2016 , 12673.9 , Actual
Apr 2016 , 12767.5 , Actual
May 2016 , 12697.4 , Actual
Jun 2016 , 12777.9 , Actual
Jul 2016 , 12839.3 , Actual
Aug 2016 , 12937.0 , Actual
Sep 2016 , 13007.7 , Actual
Oct 2016 , 13072.5 , Actual
Nov 2016 , 13185.5 , Actual
Dec 2016 , 13293.8 , Actual
Jan 2017 , 13275.7 , Actual
Feb 2017 , 13299.5 , Actual
Mar 2017 , 13485.6 , Actual
Apr 2017 , 13558.5 , Actual
May 2017 , 13467.3 , Actual
Jun 2017 , 13515.2 , Actual
Jul 2017 , 13577.3 , Actual
Aug 2017 , 13646.1 , Actual
Sep 2017 , 13696.5 , Actual
Oct 2017 , 13741.6 , Actual
Nov 2017 , 13810.9 , Actual
Dec 2017 , 13936.5 , Actual
Jan 2018 , 13856.2 , Actual
Feb 2018 , 13842.2 , Actual
Mar 2018 , 14024.0 , Actual
Apr 2018 , 14068.0 , Actual
May 2018 , 13988.9 , Actual
Jun 2018 , 14080.6 , Actual
Jul 2018 , 14115.2 , Actual
Aug 2018 , 14171.6 , Actual
Sep 2018 , 14207.2 , Actual
Oct 2018 , 14209.7 , Actual
Nov 2018 , 14263.2 , Actual
Dec 2018 , 14456.5 , Actual
Jan 2019 , 14433.6 , Actual
Feb 2019 , 14411.4 , Actual
Mar 2019 , 14582.9 , Actual
Apr 2019 , 14634.3 , Actual
May 2019 , 14585.2 , Actual
Jun 2019 , 14745.4 , Actual
Jul 2019 , 14824.9 , Actual
Aug 2019 , 14906.1 , Actual
Sep 2019 , 14997.0 , Actual
Oct 2019 , 15123.8 , Actual
Nov 2019 , 15270.4 , Actual
Dec 2019 , 15422.8 , Actual
Jan 2020 , 15405.2 , Actual
Feb 2020 , 15392.7 , Actual
Mar 2020 , 16066.5 , Actual
Apr 2020 , 17113.7 , Actual
May 2020 , 17779.1 , Actual
Jun 2020 , 18118.9 , Actual
Jul 2020 , 18278.8 , Actual
Aug 2020 , 18369.1 , Actual
Sep 2020 , 18612.9 , Actual
Oct 2020 , 18694 , Forecast
Nov 2020 , 18880 , Forecast
Dec 2020 , 18918 , Forecast
Jan 2021 , 18924 , Forecast
Feb 2021 , 19095 , Forecast
Mar 2021 , 19252 , Forecast
Apr 2021 , 19591 , Forecast
May 2021 , 19822 , Forecast

www.forecasts.org
